videoPlayCount,hashtags,url,locationName,videoViewCount,videoDuration,commentsCount,mentions,caption,timestamp,likesCount
45261.0,MyMarks,https://www.instagram.com/p/DKJyKw3tBGx/,,0.0,13.12,1,marksandspencer_fizza.,"Switch into summer with beauty must-haves for the new season.

@marksandspencer_fizza. 
#MyMarks

Though we’ve paused taking orders via our website and app for now, you can still shop in store – our brilliant colleagues look forward to seeing you.",2025-05-27T10:00:27.000Z,213
316839.0,MyMarks,https://www.instagram.com/p/DKJ5HaDMJUE/,,0.0,173.133,276,inpolife,"Fringing. Stripes. Puff sleeves. @inpolife tries on *the* must-have summer styles.

#MyMarks

Though we’ve paused taking orders via our website and app for now, you can still shop in store – our brilliant colleagues look forward to seeing you.",2025-05-27T11:02:13.000Z,5969
,,https://www.instagram.com/p/DKMKXu0tnY6/,,,,0,,"Fresh looks for your everyday hero and matching looks for him and his mini me. Explore Father’s Day gifts in store now.

Shop for big plans and small moments at your nearest M&S. Our stores are open as usual and our brilliant colleagues look forward to seeing you.",2025-05-28T08:10:11.000Z,151
59363.0,,https://www.instagram.com/p/DKMToaLMe7d/,,0.0,5.805,36,,"Here’s your first look at our summer beauty bag launching 5 June. What can you spot? 

Shop for big plans and small moments at your nearest M&S. Our stores are open as usual and our brilliant colleagues look forward to seeing you.",2025-05-28T09:34:11.000Z,475
,,https://www.instagram.com/p/DKKbfeITBxP/,,,,4,,"⭐️ New in the M&S Foodhall - Best in Season West Country Lamb has arrived!

Did you know all our fresh lamb is 100% British, all year round? We source from different regions seasonally to guarantee the best quality and right now in our stores in England, it’s all about lamb from the lush pastures of the West Country, known for its exceptional flavour, tenderness, and succulence.

A must for foodies and home cooks alike – whether you’re going all out with a showstopping Sunday roast or sizzling tender chops for a flavour-packed midweek meal.

Available now in your local M&S Foodhall!",2025-05-27T16:01:19.000Z,765
,,https://www.instagram.com/p/DKKGSqhtOoA/,,,,9,,"⭐️ New in the Foodhall - Tender, Sweet and Nutty - British Tenderstem™ broccoli, has landed in M&S! 

Get ready for something broc-tastic! M&S is the first retailer to bring you early season British Tenderstem™ broccoli, a whole three weeks early! 

Grown using clever technology by our expert partner on Rook Row Farm in Herefordshire (they've been growing for us for 15 years) it’s green and glorious, fresh from the field to your fork! 

Available now in your local M&S Foodhall!",2025-05-27T12:56:04.000Z,575
62076.0,,https://www.instagram.com/p/DKJl1d3qoUU/,,0.0,36.292,25,,"Celebrating everyday heroes. Find the perfect Father’s Day presents in stores now.

Though we’ve paused taking orders via our website and app for now, you can still shop in store – our brilliant colleagues look forward to seeing you.",2025-05-27T08:13:56.000Z,397
83402.0,,https://www.instagram.com/p/DKKNvEYhbit/,,0.0,89.92,10,,"It’s National BBQ Week (yes that is a real celebration), and one thing you simply can’t have a BBQ (even and indoor one ☔️) without… A BURGER!

But this is not just any burger, oh no, this is Our Best Ever Burger (literally), perfectly seasoned and want to know the secret?... bone marrow! It adds a whole new level of flavour that will have those tastebuds tingling

The next burger essentials? For me it has to be…

Toasted Brioche Bun ✅
Big Cheese Melts ✅
Special Burger Sauce ✅
Ketchup AND Mustard ✅
Crispy Lettuce ✅

What’s your perfect burger combo?",2025-05-27T14:02:29.000Z,335
240275.0,MyMarks,https://www.instagram.com/p/DKHQ0IwJkZ3/,,0.0,22.666,115,marksandspencer_dais.,"Get ready with our new M&S Insider @marksandspencer_dais.
#MyMarks

Though we’ve paused taking orders via our website and app for now, you can still shop in store – our brilliant colleagues look forward to seeing you.",2025-05-26T10:30:36.000Z,2543
,,https://www.instagram.com/p/DKHbSuBzWLF/,,,,40,,"1KG of THE BERRY BEST!  – that’s right we’ve launched a BUMPER 1kg pack of M&S Select Farms strawberries!  

These giant punnets will only be available for a limited time, so make sure you snap them up when you get the chance, after all – it’s not summer without a strawberry! Our 1kg pack are PERFECT for kids lunches this half term, picnics in the park and paired with our Cornish Collection Cream! – YES PLEASE! 

Available now in your local M&S Foodhall!",2025-05-26T12:01:52.000Z,2927
