hashtags,url,locationName,videoViewCount,caption,videoDuration,commentsCount,mentions,isSponsored,timestamp,likesCount
"nextofficial, backtoshool, bruceandbrown",https://www.instagram.com/p/DKMV3flNE4D/,"London, United Kingdom",,E L L A▪️for @nextofficial Back to School ✏️✏️ @bruceandbrown #nextofficial #backtoshool #bruceandbrown,,2,"nextofficial, bruceandbrown",True,2025-05-28T09:50:36.000Z,19.0
"hotwheels, hotwheelstürkiye, türkiye, belek, holiday, tshirt, model, modelife, modelphotography, toddler, toddlerfashion, diecast, 164scale, hotwheelscollector, hotwheelscollection, hotwheelscustom, antalya, next, nextofficial, asteriahotels",https://www.instagram.com/p/DKMBOFBCp0Y/,Asteria Family Resort Belek,,"Willy modeling his new @nextofficial Hot Wheels T-shirt from nana @sallyjohnson1209 on his holidays at @asteriahotelsandresorts ️ What a cool dude!  

#hotwheels #hotwheelstürkiye #türkiye #belek #holiday #tshirt #model #modelife #modelphotography #toddler #toddlerfashion #diecast #164scale #hotwheelscollector #hotwheelscollection #hotwheelscustom #antalya #next #nextofficial #asteriahotels",,3,"nextofficial, sallyjohnson1209, asteriahotelsandresorts",True,2025-05-28T06:50:11.000Z,16.0
"next, thenext, nextofficial, allaboutnext, everythingnext, proximo, próximo, pròximo, upcoming",https://www.instagram.com/p/DKLZ0nMvgFb/,,,#next #thenext #nextofficial #allaboutnext #everythingnext #proximo #próximo #pròximo #upcoming,,0,,True,2025-05-28T01:05:55.000Z,
"next, thenext, nextofficial, allaboutnext, everythingnext, proximo, próximo, pròximo, upcoming",https://www.instagram.com/p/DKLZgkRPI4d/,,,#next #thenext #nextofficial #allaboutnext #everythingnext #proximo #próximo #pròximo #upcoming,,0,,True,2025-05-28T01:03:11.000Z,
"next, thenext, nextofficial, allaboutnext, everythingnext, proximo, upcoming",https://www.instagram.com/p/DKLYd1gvcgp/,,,#next #thenext #nextofficial #allaboutnext #everythingnext #proximo #proximo #upcoming,,0,,True,2025-05-28T00:54:04.000Z,
"next, thenext, nextofficial, allaboutnext, everythingnext, proximo, próximo, pròximo, upcoming",https://www.instagram.com/p/DKLYXVkPl5G/,,,#next #thenext #nextofficial #allaboutnext #everythingnext #proximo #próximo #pròximo #upcoming,,0,,True,2025-05-28T00:53:11.000Z,
"next, thenext, nextofficial, allaboutnext, everythingnext, proximo, próximo, pròximo, upcoming",https://www.instagram.com/p/DKLNF3-vv0k/,,,#next #thenext #nextofficial #allaboutnext #everythingnext #proximo #próximo #pròximo #upcoming,,0,,True,2025-05-27T23:14:41.000Z,
"next, thenext, nextofficial, allaboutnext, everythingnext, proximo, próximo, pròximo, upcoming",https://www.instagram.com/p/DKJiSF7RqV0/,,,#next #thenext #nextofficial #allaboutnext #everythingnext #proximo #próximo #pròximo #upcoming,,0,,True,2025-05-27T07:41:22.000Z,
"next, thenext, nextofficial, allaboutnext, everything, proximo, próximo, pròximo, upcoming",https://www.instagram.com/p/DKJgQWnxHmV/,,,#next #thenext #nextofficial #allaboutnext #everything ext #proximo #próximo #pròximo #upcoming,,0,,True,2025-05-27T07:23:39.000Z,
"next, thenext, nextofficial, allaboutnext, everythingnext, próximo, pròximo, prooximo, upcoming",https://www.instagram.com/p/DKJfwxLxk0C/,,,#next #thenext #nextofficial #allaboutnext #everythingnext #próximo #pròximo #prooximo #upcoming,,0,,True,2025-05-27T07:19:20.000Z,
"next, thenext, nextofficial, allaboutnext, everythingnext, oroximo, próximo, pròximo, upcoming",https://www.instagram.com/p/DKJeAkdASyG/,,,#next #thenext #nextofficial #allaboutnext #everythingnext #oroximo #próximo #pròximo #upcoming,,0,,True,2025-05-27T07:04:01.000Z,
"next, thenext, nextofficial, allaboutnext, everything, proximo, próximo, pròximo, upcoming",https://www.instagram.com/p/DKJdM6Fx35K/,,,#next #thenext #nextofficial #allaboutnext #everything ext #proximo #próximo #pròximo #upcoming,,0,,True,2025-05-27T06:56:58.000Z,
"next, thenext, nextofficial, allaboutnext, everythingnext, proximo, próximo, pròximo, upcoming",https://www.instagram.com/p/DKJc8VxRmWm/,,,#next #thenext #nextofficial #allaboutnext #everythingnext #proximo #próximo #pròximo #upcoming,,0,,True,2025-05-27T06:54:42.000Z,
,https://www.instagram.com/p/DKJacEXxdY0/,,,,,1,,True,2025-05-27T06:32:49.000Z,
