videoPlayCount,url,hashtags,videoViewCount,videoDuration,commentsCount,mentions,caption,timestamp
,https://www.instagram.com/p/DKEQoS1sqln/,,,,0,,A dreamy colour palette for beach days and long summer nights,2025-05-25T07:00:44.000Z
81459.0,https://www.instagram.com/p/DJ8szmGNMQf/,,0.0,20.736,9,sofynicoledobson,5 fits to save for walking into the bank holiday in style ️ @sofynicoledobson,2025-05-22T08:05:15.000Z
,https://www.instagram.com/p/DKKKQxWxNHf/,,,,1,,Think lobster print and fish tees...this could be our favourite trend for summer 2025 so far,2025-05-27T14:00:28.000Z
92517.0,https://www.instagram.com/p/DJ_YYMAtMqP/,,0.0,27.539,8,meganellaby,3 bump-friendly holiday fits for your next getaway  @meganellaby,2025-05-23T09:03:15.000Z
76849.0,https://www.instagram.com/p/DKMH5zhNWlj/,,0.0,10.3,10,keziacook,4 go-to city girl styles to save for when the sunshine makes its comeback  @keziacook,2025-05-28T07:51:32.000Z
,https://www.instagram.com/p/DJ1Aq5IsKi8/,,,,2,,We heard bubble hems were making a comeback...,2025-05-19T08:25:41.000Z
75217.0,https://www.instagram.com/p/DKJmryGtcMU/,,0.0,18.1,10,ooliviamiller,"Come rain or shine, a signature bag and sandals combo is giving us all the summer vibes this bank holiday ✨ @ooliviamiller",2025-05-27T08:25:34.000Z
,https://www.instagram.com/p/DJvxJ51t7iB/,,,,6,inesisaias,THE dress for your city break strolls this summer  @inesisaias,2025-05-17T08:00:56.000Z
,https://www.instagram.com/p/DKByqwBvley/,,,,4,,PSA: we've just found the ultimate occasion dress ✨,2025-05-24T08:00:46.000Z
,https://www.instagram.com/p/DJ59bZVMJLA/,,,,1,,Laid-back looks you’ll live in all summer long ✨,2025-05-21T07:00:25.000Z
69247.0,https://www.instagram.com/p/DJoGjYENbUp/,,0.0,12.793,20,missjamiefirth,Linen season is upon us and we couldn’t be more excited  @missjamiefirth,2025-05-14T08:08:12.000Z
,https://www.instagram.com/p/DJdvnvluXKa/,,,,11,,Nothing beats putting on your best holiday outfit after a day in the sunshine,2025-05-10T08:00:57.000Z
117880.0,https://www.instagram.com/p/DJtR7OTAmFw/,,0.0,27.5,23,yasmindevonport,5 looks to inspire your spring wardrobe ✨ which outfit is your favourite? @yasmindevonport,2025-05-16T08:22:50.000Z
,https://www.instagram.com/p/DJld7oIMf0m/,,,,7,,Is there anything more chic than a lace satin skirt? We'll wait...,2025-05-13T08:00:35.000Z
,https://www.instagram.com/p/DJqgss4AekN/,,,,3,,PSA: your new go-to jorts just dropped,2025-05-15T07:00:58.000Z
,https://www.instagram.com/p/DJboLBiR8nU/,,,,3,,No matter the occasion...your perfect outfit awaits,2025-05-09T12:00:39.000Z
52159.0,https://www.instagram.com/p/DJi_0JPNtCW/,,0.0,10.588,2,,Be the event this season with occasionwear that turns heads ✨,2025-05-12T08:31:42.000Z
,https://www.instagram.com/p/DJgURaWNXfi/,,,,4,aanishagurung_,The dreamiest butter yellow dress for soaking up the spring sunshine ✨ @aanishagurung_,2025-05-11T08:00:07.000Z
100815.0,https://www.instagram.com/p/DJW9ODktYUB/,,0.0,10.6,10,whatgigiwears,Showing up in style this season…no matter the RSVP  @whatgigiwears,2025-05-07T16:17:47.000Z
,https://www.instagram.com/p/DJUPqP3Mndx/,nextman,,,10,mothecomedian,3 suits for your summer RSVP’s. @mothecomedian has got you . #nextman,2025-05-06T14:58:54.000Z
212703.0,https://www.instagram.com/p/DJQ7SIUgP9p/,,53348.0,35.829,142,sofynicoledobson,Which wedding guest outfit should @sofynicoledobson choose!? ️,2025-05-05T08:06:43.000Z
133741.0,https://www.instagram.com/p/DJ3kkcItIQ9/,,0.0,12.281,48,chloemaycraig,Warning: May cause spontaneous squealing  @chloemaycraig,2025-05-20T08:21:33.000Z
,https://www.instagram.com/p/DJO8B50sao1/,nextkids,,,18,,"Dressed in sunshine, matching with their besties...☀️ #nextkids",2025-05-04T14:01:05.000Z
141998.0,https://www.instagram.com/p/DJydViKgOfV/,,0.0,15.371,23,katherine_bondd,6 chic outfits for a sunny summer in the city ✨ @katherine_bondd,2025-05-18T08:49:27.000Z
211320.0,https://www.instagram.com/p/DJBh7VVAgoV/,nextwomens,63914.0,12.446,55,missy_elz,8 summer fits for however you choose to vacay  @missy_elz  #nextwomens,2025-04-29T08:41:49.000Z
95450.0,https://www.instagram.com/p/DI_ZpDgtAlV/,nextwomens,22909.0,15.166,19,oliviaandalice,Celebrating the start of a sunny week with loud prints and bold pops of colour  @oliviaandalice  #nextwomens,2025-04-28T12:46:01.000Z
272167.0,https://www.instagram.com/p/DJOaERTgCfp/,nextwomens,83854.0,13.468,15,_meaganwells,That feeling of finally wearing the outfit you’ve been saving for your holiday  @_meaganwells  #nextwomens,2025-05-04T08:34:52.000Z
,https://www.instagram.com/p/DJJJQxpOSgC/,nextwomens,,,9,,The chicest way to bring the outdoors in this spring... #nextwomens,2025-05-02T08:00:02.000Z
