text,hashtags,duration,date,url,commentsCount,title,numberOfSubscribers,viewCount,channelName,likes
"Marks & Spencer has said a damaging cyber attack caused by “human error” will cost the company around £300 million, with the affects likely to last until July.

The high street retailer was targeted by hackers around Easter weekend and has seen issues with contactless payments, click and collect orders, empty shelves and the halting of all online orders.

Almost a month since the attack was first revealed, M&S is still not taking orders online, with one retail expert telling ITV News they expected this was costing the company as much as £3.5 million a day.

• Subscribe to ITV News on YouTube: http://bit.ly/2lOHmNj 
• Get breaking news and more stories at http://www.itv.com/news

Follows ITV News on TikTok https://www.tiktok.com/@itvnews?lang=en
Follow ITV News on Instagram:   / itvnews  
Follow ITV News on Facebook:   / itvnews   
Follow ITV News on Twitter:   / itvnews  ",,00:02:07,2025-05-21T14:37:17.000Z,https://www.youtube.com/watch?v=1fdL9znFbm4,6,Marks & Spencer blames ‘human error’ as cyber attack set to cost £300m | ITV News,1990000,5750,ITV News,30
"#morrisons #supermarkets #grocerystore 

Join us on an exciting tour of Morrisons, one of the UK’s most popular supermarkets, known for its fresh produce and unbeatable deals. In this video, we’ll take you through the aisles of Morrisons, showcasing a wide array of high-quality products, from farm-fresh fruits and vegetables to premium meats, dairy products, and household essentials. Discover why Morrisons is a top choice for UK shoppers seeking value and variety.

Experience the convenience and quality that Morrisons offers. We’ll highlight the latest arrivals, special promotions, and must-try items, providing a comprehensive guide to making the most of your shopping trip. Whether you’re looking to stock up on groceries, find delicious ready meals, or explore new products, this tour offers valuable insights and a visually engaging experience.

Perfect for families, foodies, and anyone interested in quality grocery shopping. Watch now to see why Morrisons is beloved for its commitment to fresh produce and great deals. Don’t forget to like, comment, and subscribe for more supermarket tours and shopping guides. Explore the best of Morrisons and elevate your grocery shopping experience with us!

Get in contact:
info@curioustravellers.co.uk

THIS VIDEO IS NOT SPONSORED.",,00:38:52,2024-08-04T07:19:17.000Z,https://www.youtube.com/watch?v=lVE8mkFgfkQ,31,Morrisons Supermarket Tour - Discover Fresh Deals and Quality Products of the UK [4K],14400,18378,Curious Travellers,144
"#sainsburys #supermarkets #grocery 

Join us on a comprehensive tour of Sainsbury's, one of the UK’s most beloved supermarkets. In this British grocery shopping vlog, we’ll take you through the aisles of Sainsbury's, showcasing their diverse range of high-quality products, from fresh produce and bakery delights to household essentials and exclusive Sainsbury's brands.

Experience the welcoming atmosphere and exceptional service that Sainsbury's is known for. We’ll highlight the best deals, seasonal offerings, and must-try items, providing a thorough guide to making the most of your shopping trip. Whether you’re a regular Sainsbury's shopper or exploring it for the first time, this tour offers valuable insights and a visually engaging experience.

Perfect for grocery enthusiasts, food lovers, and anyone interested in British retail. Watch now to discover why Sainsbury's remains a favorite among UK consumers. Don’t forget to like, comment, and subscribe for more supermarket tours and shopping guides. Immerse yourself in the quality and variety of Sainsbury's with us!

Get in contact:
info@curioustravellers.co.uk

THIS VIDEO IS NOT SPONSORED.",,00:38:11,2024-07-04T11:05:04.000Z,https://www.youtube.com/watch?v=g2nejpHuYI8,44,Sainsbury's Supermarket Tour - British Grocery Shopping Vlog [4K],14400,34158,Curious Travellers,256
"You all loved my M&S Vlog a couple of weeks ago so this week I went to Bluewater for you.  Grab a cuppa while I take you shopping in Marks and Spencer. Let’s see whats New in Marks and Spencer. I felt a bit poorly when i filmed so didnt try on for you. Next time i will 

Shop my faves on this trip here
https://www.shopltk.com/explore/Sally...

The Best Bobble Remover and De fuzzer https://amzn.to/431tN2o

https://www.shopltk.com/explore/Sally...
 
Watch this next
⭐️    • H&M JAPAN Vlog Shopping with Sally in Tokyo  
⭐️    • 5 Ways to Style Leggings Over 50  

---------------------------------------------------------------------------------------------------
⭐️ My USA & Global Amazon Store 
amazon.com/shop/sallyatkins
￼
⭐️ My UK Amazon Store: amazon.co.uk/shop/sallyatkins

 Business and Collaboration Enquiries ONLY 
fabover50channel@gmail.com

‍♀️ About me: UK based Beauty Expert and tutor with over 30 years in the beauty, wellness and fashion industries. 
55 years old
Dress size: UK 12 / US 8 or Medium
Weight: 63kilos  or 10st
Height: 5ft.7""
Naturally Fair / Blonde
Skin: Normal/sensitive but sun damaged. Obvious Signs of ageing and allergies and Eczema on Neck and chest.
.
 Any recommendations are based on my own experience and do not constitute or serve as professional advice.

Disclaimer - This video is NOT sponsored.  I may use affiliate links where applicable. If you do choose to purchase through any of my links you will not pay any more or less. A tiny percentage of the sale will go to the person who generated the link. Thank you so much for your support of my channel and Happy Shopping.

#Marks&Spencer #fabulousover50 #styleover50","#styleover50, #Marks, #fabulousover50",00:26:41,2025-03-02T17:35:00.000Z,https://www.youtube.com/watch?v=aoYPmfM21n8,96,SPRING IN Marks and Spencer Shopping Vlog with Sally (was it any good),7890,20824,Sally Atkins,525
"I'm Trying to Survive as Long as possible off £10 at B&M.

The question is, how much can I buy, and just what can I make for my meals, to be able to keep me alive and from being way too hungry!

Check it out, and let me know in the comments below what you love about B&M!

If you fancy helping me out and leaving a tip: https://www.buymeacoffee.com/samwilder

Instagram:   / samwilderofficial  

00:00 Introduction
00:35 Shopping
01:58 Day 1
08:48 Day 2",,00:14:20,2024-04-23T16:00:01.000Z,https://www.youtube.com/watch?v=1aaotLQaaS4,221,How Long Can I Live on £10 of Food from B&M?,28800,130536,Sam Wilder,1900
"Find links and size details below

#autumnhaul #fallhaul #autumnfashion 

Follow on Instagram here @emmahill
Find outfits all in one place here https://emmajhill.com/category/outfit...
______________________________________________________
ADVERTISING
As content creation is our business and how we earn our living you will see advertising in our content from time to time in different forms:
We are very selective about what brands we work with on paid/sponsored content creation and as a rule we don't work with any brand that we don't already or wouldn't spend our own money on. We are incredibly proud of all our brand partnership content and it will always be disclaimed in the most transparent way possible so you know exactly what is with 'AD' on screen and in the description box. If the entire video is an 'AD' this will be in the title of the video.
Because we don't work with a large amount of brands on sponsored content we do rely on our YouTube ad revenue. Any adverts you watch during the duration of our videos will earn us a small percentage of 'ad revenue' from YouTube and we really appreciate you watching the adverts in full (and not skipping them), but only if and when you can. We also know that time is precious so no pressure.
We also use 'Affiliate Links' in the description boxes below our videos and if you make a purchase via these links we will earn a small percentage of commission depending on the sale amount. Not all links are affiliate links but just assume they are.
Any items/links marked with '[AD - Pr products]' are products which have been 'gifted' from the respective brands without a contract for sponsored content. This is still classed as a form of advertising because nothing is ever ""free"", brands are gaining exposure to our audience by us featuring them, so these items are marked as 'AD-Pr product' in the description box but we are under no obligation to feature these items. And as with our paid content, we never accept gifting/pr products from brands that we don't already or wouldn't spend our money on. If we have received a press discount on anything featured this will also be disclaimed.

Size reference I am a UK size 10 (a small 10) with a B cup bust and I'm 5ft 9' with a 34"" inseam.
 
▪️WHAT I WAS WEARING▪️
Jumper - Cos (old)
Jeans (size 10 long) https://bit.ly/3XbyiEj
Earrings https://bit.ly/3XHFatB
Chain Necklace https://mejurifinecrew.sjv.io/LXLGzZ

▪️TRY-ON ITEMS▪️
This is a try-on but any items marked with an * are the items I decided to keep or that I already owned.

OUTERWEAR
Trench Coat (wearing size 12, upsized by 1 size to accommodate knitwear) https://bit.ly/3YWedmL
*Navy Blazer (wearing size 12, upsized by 1 size for a slouchier fit) https://bit.ly/3LfUztL (This one sold out very fast so find a similar option here https://bit.ly/3Z9rx7A )

TROUSERS
Camel Side Stripe Trousers (wearing size 10L) https://bit.ly/4cC4PrH
Navy Crepe Trousers (wearing size 10L) https://bit.ly/46UN85p
Navy Cotton Joggers (wearing size 10L) https://bit.ly/3SQyxBZ
Cropped Cargo Trousers (wearing size 10L) https://bit.ly/3WELU9I
*Cotton Chino Trousers (wearing size 10L) https://bit.ly/4eWTRPT

JEANS
Carrot Leg Jeans (wearing size 10R, I need a long ideally) https://bit.ly/3WUZvtE
*Boyfriend Jeans (wearing size 10L) https://bit.ly/4cvmMIh

SHIRTS
Green Stripe Shirt (wearing size 12, sized up by 1 size for a looser fit) https://bit.ly/4drgMBC
White/Navy Stripe Shirt (wearing size 12, sized up by 1 size for a looser fit) https://bit.ly/46XvHkO

KNITWEAR
Collared Button Up Knit (wearing size M) https://bit.ly/3XbfQfa
Air Yarn Short Sleeve Knit Tops (wearing size S, they come up large, no need to upsize) https://bit.ly/3MhxBCY (Find the long sleeve option here https://bit.ly/3X7QWwS )
Autograph Silk Blend Short Sleeve Top (wearing size 12, I upsized for a looser fit) https://bit.ly/46SubAc
Supersoft Crewneck Jumper (wearing size M, upsize for a looser fit) https://bit.ly/4g5IbuT
Cloud-Yarn Stripe Knit Hoodie https://bit.ly/3ZajHur
Stripe White/Black Sweatshirt (wearing size M) https://bit.ly/3AtMb7S

CASHMERE
Autograph Cardigan (wearing size M ) https://bit.ly/4fQ74ug
Autograph Crew Neck Jumper (wearing size 14, I upsize by 2 sizes in these for a looser/slouchier fit) https://bit.ly/3Tb7cLh
Autograph Hoodie (wearing size M for a looser fit) https://bit.ly/4dNvrab
Autograph Joggers (wearing size M for a looser fit) https://bit.ly/4dPdd87

FOOTWEAR
*Navy Suede Ballet Flats (wearing size 8, I’m a UK 7.5) https://bit.ly/4dRacnN

▪️OTHER ITEMS SEEN IN THE CUTAWAYS▪️
Black Ballet Flats https://bit.ly/3WXzdqA
White Trainers https://bit.ly/47lGLXd","#autumnfashion, #autumnhaul, #fallhaul",00:32:51,2024-09-01T05:00:34.000Z,https://www.youtube.com/watch?v=sJiwTtcXmck,255,M&S Early Autumn Try On | Transitional Pieces,398000,99186,Emma Hill,3300
"M&S FASHION NEW IN - Come Shop Ladies Summer Clothing ☀️ - Loving M&S Right Now!


Hi Guys, I hope you are having a fabulous weekend. Welcome to my latest vlog - it’s a come shop to Marks & Spencer to have a good look at their ladies fashion for Spring/Summer. I have to say I am very impressed with them at the moment. 
See you all very soon in my next video.
Lots of love 
Emma xx 

❤ Instagram:  / emmalouiseyt  
❤ Youtube:   / emmalouise  

Email enquiries / collaborations:
 Emmalouise.yt@outlook.com 


 Here are some of my previous videos

 HALARA HAUL - Review & Try On | WOW! I’m Impressed ❤️ | Must Have Leggings & Trousers!
    • HALARA HAUL - Review & Try On | WOW! I’m I...  

 HOME BARGAINS NEW IN SUMMER - Come Shop & Haul | Home, Garden, Beauty, Holiday & More
    • HOME BARGAINS NEW IN SUMMER - Come Shop & ...  

 ASDA NEW IN SPRING SUMMER | Come Shop Fashion, Holiday, Home Decor & Garden
    • ASDA NEW IN SPRING SUMMER | Come Shop Fash...  

 HUGE PRIMARK HAUL + TRY ON APRIL 2025 - New In Spring Summer Fashion, Holiday & Beauty
    • HUGE PRIMARK HAUL + TRY ON APRIL 2025 - Ne...  

 PRIMARK COME SHOP - NEW IN APRIL 2025 | WOW!! Spring Summer Fashion, Accessories, Beauty & More
    • PRIMARK COME SHOP - NEW IN APRIL 2025 | WO...  

 FULL HOME TOUR | Modern Farmhouse Decor, English Countryside Neutral Home 
    • FULL HOME TOUR | Modern Farmhouse Decor, E...  

Thank you so much for supporting my channel xx

#marksandspencer #clothes #clothing #womensclothing #womensfashion #womenswear #ladieswear #ladiesfashion #ladiesclothes #fashionhaul #fashion #fashionblogger #fashiontrends  
 #hauls #shoppinghaul #shopping #shoppingaddict #shoppingvlog #shoppingtime #shoppingvideo 
     #april2025 #bargain  #holidayshopping #holidayfashion  #may2025￼￼ #marks #summerfashion #summer #summerclothing #swimwear #swimwearstyle #comeshopwithus #comeshoppingwithme #comeshopwithme ￼￼#dress #dresses #shorts #vacationfashion 
#spring2025      #bargains #bargain-shopper #affordableshopping #affordablefashion 
       #affordable  #spring2025   
 #vlog #vlogger #blog #blogger #blogs #blogging         #2025     #vlogs #vlogging #vlogvideo   #spring","#marksandspencer, #clothes, #clothing",00:20:25,2025-05-04T16:01:09.000Z,https://www.youtube.com/watch?v=mN8i9TWyonc,39,M&S FASHION NEW IN - Come Shop Ladies Summer Clothing ☀️ - Loving M&S Right Now!,9790,4055,Emma Louise,226
"Thanks for watching, let me know you enjoyed it with subscribing and also give it a thumbs up  

 INSTAGRAM 
  / hannahlricketts  

 DJI Osmo pocket 3 with the built in DJI microphone: https://store.dji.com/uk/product/osmo...

#london #luxury #travelvlog","#luxury, #london, #travelvlog",00:25:39,2025-03-14T18:00:04.000Z,https://www.youtube.com/watch?v=5K59HPqYzpI,883,Testing The UK's POSHEST Food Chain! Inside Waitrose,332000,146118,Hannah Ricketts,11000
"http://www.marksandspencer.com/s/east...

Whether you’re after cute and dainty creations, elegantly marbled mini eggs or a gilded baroque-style work of art, M&S has hatched its best-ever Easter collection of chocolate delights.

Hit the subscribe button now to ensure you don't miss out:
http://www.youtube.com/subscription_c...

Facebook:   / marksandspencer   
Twitter:   / marksandspencer   
Instagram:   / marksandspencer   
Pinterest:   / marksandspencer   
Google+: https://plus.google.com/+marksandspencer",,00:00:31,2015-04-01T07:23:18.000Z,https://www.youtube.com/watch?v=xqXOMDQhDyU,27,M&S Food: Easter Adventures in chocolate - TV Ad 2015,103000,386629,M&S,1300
"Discover the fantastic festive food on offer in-store and online at Marks and Spencer this Christmas.

From our TV adverts to recipes, inspiration or styling tips discover the M&S YouTube channel and subscribe! http://bit.ly/1Flkeqn

Discover More: http://www.marksandspencer.com/s/food...

Facebook:   / marksandspencer   
Twitter:   / marksandspencer   
Instagram:   / marksandspencer   
Pinterest:   / marksandspencer   
Google+: https://plus.google.com/+marksandspencer",,00:00:40,2015-11-06T19:02:44.000Z,https://www.youtube.com/watch?v=4oet1Ncux2s,30,M&S Food: Adventures in Christmas - TV AD 2015,103000,306702,M&S,887
