text,hashtags,duration,date,url,commentsCount,viewCount,title,numberOfSubscribers,channelName,likes
"This is the latest collection of Ladies Wear at NEXT Stores! 

Please 
Like 
Share
Subscribe 

Gazingpearl Life 

Thanks for watching! 
K Sindhu",,00:16:20,2022-09-22T21:02:53.000Z,https://www.youtube.com/watch?v=NTkouxaeNAk,1,259,NEXT HAUL 2022| LATEST NEXT FASHION| Gazingpearl Life #gazingpearllife#next#nextfashion,4410,GazingPearl Life,1
"► Subscribe to never miss an upload: http://bit.ly/2FufgBS

► READ at Fabulous: https://www.thesun.co.uk/fabulous/
► LIKE us on Facebook:   / fabulous  
► FOLLOW us on Twitter:   / fabulousmag  
► On INSTAGRAM:   / fabulousmag  ",,00:00:22,2022-08-09T08:09:32.000Z,https://www.youtube.com/watch?v=D8oYLuHyLik,3,858,Come dress shopping in Next!  #next #nextfashion #nextclothing #nexthaul #shopping #shorts #dress,160000,Fabulous Magazine,19
"   • Shopping Vlogs  

Next Stores UK sale has started offering 50% off clothing on Menswear, Ladies-wear, kids wear. It’s running online and in stores across the UK. 

Next store uk
next store
next clothes
next
next women
next collection
next shopping
next mystery shop event
next discount event
Next shopping haul
high street shopping
shop with me
next clothing
Shopping haul
ulta shopping haul
come shopping with me
big haul
ulta shopping spree
come shopping with me at ulta
shop with me
primark shopping vlog
come shopping with me
shopping vlog
tk maxx uk
come shopping with me primark
come to the mall with me
shopping with me
come shopping with me uk
shop with me vlog
mall vlog
zara shopping
shop with me uk
clothing haul
come shop wit me
shopping vlog uk
shop with me zara
uk vlogs
selfridges shopping
uk vlog
h&m shop with me
travel vlog
shopping vlog
how to make a shopping list
shopping convenience
money saving tips
smart shopping
shopping experience
ios shopping
rich girl clothing haul
try on clothing haul
best streetwear brands
end of summer clothing haul
streetwear clothing haul
fashion haul
men’s clothing haul
back to school clothing haul
expensive haul
fall fashion
huge clothing haul
clothing brands
clothes
shopping vlog
my recent pickups
try on
what to wear
fashion pickups
best clothing brands
come to the mall
with me
best fashion brands
end of summer haul
expensive clothing haul
collective haul
clothing try-on haul
clothing review
clothing pickups

#next #shopping #shoppingvlog #shoppinghaul #shoppingonline #shopwithme #shoppingonline #shoppingmall #shoppingtime #shoppingvlogs #shoppingbag #shoppingvideo #shoppingspree #comeshoppingwithme #clothinghaul #clothingstore #luxurylifestyle #sufysfoodtravel","#shoppingtime, #shopwithme, #luxurylifestyle",00:14:14,2025-03-23T12:00:30.000Z,https://www.youtube.com/watch?v=HG3AaqAH2jY,9,945,Big Sale | Next Stores UK | 50% Off | Next Clothing Haul | Come Shop With Me,508,Sufy’s Food Travel,16
"Decided to do some online shopping this week for a change as I've had a busy week so thought I would have a look on the Next website and I'm so glad I did. I picked some gorgeous dresses that were new in and will be perfect for Spring and Summer.  Some of the items are from Jo Browns, Lipsey, Roman and Laura Ashley all available online at Next.  I can't wait to wear them and with the weather getting warmer it's the perfect time to buy them before they all get snapped up.  

Hello my name is Pat and welcome to my channel RicherinYears. I am 75 years of age, 5'3"" and a dress size 10-12.  I love sharing with you my love of fashion, style and Beauty regime.  I hope you enjoy my videos and hope they give you lots of ideas and inspiration. ❤ 

https://www.next.co.uk 

Pink/White Top - Roman
https://www.next.co.uk/style/su126451...
Price: £37.00 

Green Dress - Jo Browns
https://www.next.co.uk/style/su645102...
Price: £58.00 

Gold Sandals - Friends Like These
https://www.next.co.uk/style/su507071...
Price: £36.00 

Navy/White Jersey Dress - Lipsey
https://www.next.co.uk/style/su545607...
Price: £46.00 

Coral Dress - Laura Ashley
https://www.next.co.uk/style/su466506...
Price: 39.00 

Pink Maxi Dress - Roman
https://www.next.co.uk/style/su373412...
Price: £50.00 

Blue dress - Jo Browns
https://www.next.co.uk/style/su645150...
Price: £65.00



                      
          Hope you enjoy my picks for today, thank you for watching ♥️ 
                                           
                                   Please like and subscribe ❤


Instagram:  Richerinyears 

For Business/Collaboration enquiries please contact me 
on Pat@Richerinyears.co.uk 



#next #MandS #tuatsainsbury​ #zara​ #CharlotteTilbury​ #revolution​ #elf​ #maybelline​ #Beauty​ #makeup​  #over60s​ #over​ 70s #hm​ #marksandspencer​ #holidays​ #cruising​ #virgin​ #jet2​ #aronagranhotel​ #hermes​ #chanel​ #prada​ #cledepeau​ #dior​ #esteelauder​ #cartier​ #rolex​ #fashion #spring #summer #holidays #Roman #lauraashley","#cledepeau​, #jet2​, #hermes​",00:18:24,2025-03-21T17:49:13.000Z,https://www.youtube.com/watch?v=2nrwYST8r4Q,91,7475,NEXT FASHION New In for SPRING 50s  60s  70s  My haul & Try on at 75,6830,RicherInYears,485
"WHATS NEW IN NEXT FOR SPRING 2025 Try on Haul and Shopping with Sally
Come with me to Next for Women Over 40
️  Shop My Outfit Today 
Jeans https://rstyle.me/+jaUyREHEc0kZ3NjE-2...
Cardigan Nearest Style https://rstyle.me/+g12g0uA0N8YfhzhkK_...
Bag https://rstyle.me/+qylrcs76cWQ4ebxIwe...
Sneakers https://rstyle.me/+qqN0qETVfwytX9MYVz...
My Lipstick https://amzn.to/4iUu4ZE
My Camera https://amzn.to/4bFruo3


SHOP WITH ME AT NEXT If you love fashion hauls, try-on videos, and styling tips for women over 40, you’re in for a treat! Today, I’m taking you on a fashion shopping vlog at NEXT, exploring their newest clothing collections for women who want to look stylish, youthful, and put-together without spending a fortune.

 WHAT YOU’LL SEE IN THIS VIDEO:
✔️ The best Spring looks in the store right now 
✔️ Chic and timeless wardrobe essentials that elevate your style
✔️ Next fashion try on
✔️ The best jeans, tops, and blouses for a modern, age-confident look
✔️ Try-on styling tips to help you put together outfits that slim, flatter, and refresh your wardrobe

Items can be found online at www.next.com and in your local store 

 Whether you’re looking for casual chic outfits, workwear inspiration, or just love a good fashion haul, this vlog is packed with ideas to keep you looking youthful, confident, and effortlessly stylish!

 COMMENT BELOW: What’s your favorite find from this shopping trip? Would you wear these outfits? Let’s chat!

 SUBSCRIBE for more fashion hauls, style hacks, anti-aging beauty tips, and shopping vlogs for women over 50!

---------------------------------------------------------------------------------------------------
⭐️ My USA & Global Amazon Store 
amazon.com/shop/sallyatkins
￼
⭐️ My UK Amazon Store: amazon.co.uk/shop/sallyatkins

 Business and Collaboration Enquiries ONLY 
fabover50channel@gmail.com

‍♀️ About me: UK based Beauty Expert and tutor with over 30 years in the beauty, wellness and fashion industries. 
55 years old
Dress size: UK 12 / US 8 or Medium
Weight: 63kilos  or 10st
Height: 5ft.7""
Naturally Fair / Blonde
Skin: Normal/sensitive but sun damaged. Obvious Signs of ageing and allergies and Eczema on Neck and chest.
.
 Any recommendations are based on my own experience and do not constitute or serve as professional advice.

Disclaimer - This video is NOT sponsored.  I may use affiliate links where applicable. If you do choose to purchase through any of my links you will not pay any more or less. A tiny percentage of the sale will go to the person who generated the link. Thank you so much for your support of my channel and Happy Shopping.

#styleover50 #fabulousover50 #shoppingvlog","#styleover50, #shoppingvlog, #fabulousover50",00:49:27,2025-03-16T16:00:33.000Z,https://www.youtube.com/watch?v=T24T2TvDvkU,204,31313,WHATS NEW IN NEXT FOR SPRING 2025 Try On and Shopping with Sally,7890,Sally Atkins,1000
"Moneybagg Yo's 'A Gangsta's Pain' out now: https://moneybaggyo.lnk.to/AGangstasPain

Follow Moneybagg Yo:
  / moneybaggyo  
  / moneybaggyo  
  / moneybaggyo   

Lyrics:
I just bought a chick a Patek 
I ain’t love her I just had to show her status
I just bought a bitch a Patek 

Bought a bitch a Patek 
I ain’t love her I just stepped up her status 
Got her cooking in the crib without no panties 
I just jumped off the lear like a savage 
I done turned another one up knowing I’m careless
I can’t have love for these hoes who crabbing
Saint Laurent my attire, made it a habit 
I got more than one, I done made it a habit 
And I wanna loyal one is you gone be there when I need you 

You fucking with a gangsta this time 
Less than 50 in her Birkin then she ain’t one of mine 
Added brightness to yo glow they see the difference in yo shine 
Co-dependent long as you got me you never in a bind,Nate
Go ape shit bout you, primate
A drinker not a smoker but for me you hit that pound cake 
They stay I started something when I had gave you the lamb 
And other shit they can’t see cuz everything ain’t for the gram 
I put it down
Don’t know who need to hear this another nigga could never 
Spoiling her too easy, make it harder for the next one 
Id rather put her on game than run it on her
If you can put up with me than you a fucking soldier (Gangsta)

You one of them ones 
It’s the Maybach drive itself for me I bet not touch the wheel in this car
You one of them ones 
This the life when you loving a star, no cap I’m just 

Making it harder for the next nigga to spoil you 
Making it harder for the next nigga to trust you 
Making it harder for the next nigga to love you 
Making it harder for the next nigga to please you 
Oh yeah 

Get my attention inspire me in a see through 
I need to be careful bout energy I feed you 
I did it to her on a jet it felt so lethal 
I feed you racks, feed you racks like seafood 
I know shorty admire me but I had to ghost her 
Must have happened right after the time after I post her 
I’m putting this world wide splash on something local 
She had my attention from the first time that I approached her 
I put two tones on her wrist and on her choker 
She a hottie, she a baddie, she a smoker 
I been contemplating about it copping a roadster, tryna get to know her

Making it harder for the next nigga to spoil you 
Making it harder for the next nigga to trust you 
Making it harder for the next nigga to love you 
Making it harder for the next nigga to please you

Bought a bitch a Patek 
I ain’t love her I just stepped up her status 
Got her cooking in the crib without no panties 
I just jumped off the lear like a savage 
I done turned another one up knowing I’m careless
I can’t have love for these hoes who crabbing
Saint Laurent my attire, made it a habit 
I got more than one, I done made it a habit 
And I wanna loyal one is you gone be there when I need you

#MoneybaggYo #HardForTheNext #Future #AGangstasPain","#MoneybaggYo, #AGangstasPain, #Future",00:02:48,2021-03-26T04:00:15.000Z,https://www.youtube.com/watch?v=RRtMkfjuWkI,6506,67047395,"Moneybagg Yo, Future - Hard For The Next (Official Music Video)",3780000,MoneyBagg Yo,411000
,,00:15:53,2025-04-25T10:09:24.000Z,https://www.youtube.com/watch?v=gvLoXi_lIIY,0,1338,NEXT NEW COLLECTION| APRIL 2025| Gazingpearl Life #gazingpearllife #next #haul #dresses #shopping,4410,GazingPearl Life,19
"Hello Everyone:) A visit to NEXT store to find out what they have new in WOMENS CLOTHING SECTION. They have huge collection of  TOPS,TROUSERS,KNITTED WEAR , Dresses,OUTERWEAR  etc . Hope you like the video x  


If you like to watch my videos, kindly hit the like button , Comment if you can, subscribe to my channel and stay tuned for more videos x 

Thankyou to you all who has already subscribed to my channel,  kindly hit the BELL  icon to get notifications about every new uploaded  video xx 

Love, 
Ana   

#next  #nexthaul    #nextclothing    #nextuk   #nextstore  #nextfinds  #tops   #newfinds #new  #newwintercollection #haul #haulvideo   #springcollection  #spring  #spring2025   #latestfashiontrends #newwintercollection # #womensfashion #findandshopwithana #fashiontrends #haulvideo  #dresses  #coats #jackets #womensouterwear #outerwear #knittedsweater #springcollection  #march2025  #2025 #newyearcollection #tops #trouser #springcollection 

#latestfashiontrends #affordablefashion #fashion #wintercollection #spring  
#comeshoppingwithme #womensclothing#womensfashion #newcollection #shoppinghaul #findandshopwithana  #latestfashiontrends #winter trends #winterfinds #trendswintercollection #onlineshopping shopping","#winter, #coats, #trouser",00:13:56,2025-03-07T20:15:59.000Z,https://www.youtube.com/watch?v=XR13Ob3JcNc,4,4767,♦️N E X T♦️WHAT’S NEW IN STORE NEW WOMENS CLOTTING COLLECTION with PRICES♦️ March 2025♦️SPRING HAUL,4030,Find & Shop with Ana,44
"NEXT WOMEN SPRING NEW COLLECTION MARCH2022 | NEXT HAUL | PLUS SIZE FASHION IN NEXT 
#next #nexthaul 
#comeshopwithme 
#shopwithme 
#vlog #spring #spring2022",,00:08:06,2022-03-11T20:30:10.000Z,https://www.youtube.com/watch?v=s2Rt53_cdrU,1,349,NEXT WOMEN SPRING NEW COLLECTION #MARCH2022 | NEXT HAUL | PLUS SIZE FASHION IN NEXT,3060,Window Shopping,5
,,00:15:56,2025-05-03T13:53:48.000Z,https://www.youtube.com/watch?v=BMsEUNxQdzA,0,843,NEXT NEW DRESSES| MAY 2025| Gazingpearl Life #gazingpearllife #next #haul #dresses#fashion#shopping,4410,GazingPearl Life,11
