channelTotalViews,url,duration,date,title,numberOfSubscribers,channelDescription,channelTotalVideos,channelJoinedDate
166545068,https://www.youtube.com/watch?v=iR887JfwMp8,0:58,2 hours ago,The Giovanna Fletcher Round | Tom's acting career | Proper Tasty Pub Quiz,103000,"Welcome to the M&S YouTube channel! Here you'll find some food styling top tips, gorgeous recipes, Cooking with the Stars extras and interviews with the famous faces behind our campaigns!",1610,"Oct 19, 2009"
166545068,https://www.youtube.com/watch?v=H1ymC0R5NkY,0:58,2 hours ago,The Giovanna Fletcher Round | Baby Ian | Proper Tasty Pub Quiz,103000,"Welcome to the M&S YouTube channel! Here you'll find some food styling top tips, gorgeous recipes, Cooking with the Stars extras and interviews with the famous faces behind our campaigns!",1610,"Oct 19, 2009"
166545068,https://www.youtube.com/watch?v=8iAFNbg7Qr8,0:58,2 hours ago,The Giovanna Fletcher Round | M&S Red Diamond Strawberries | Proper Tasty Pub Quiz,103000,"Welcome to the M&S YouTube channel! Here you'll find some food styling top tips, gorgeous recipes, Cooking with the Stars extras and interviews with the famous faces behind our campaigns!",1610,"Oct 19, 2009"
166545068,https://www.youtube.com/watch?v=v9aFYectdhk,0:56,6 days ago,The Claire Richards Round | Soup and mash | Proper Tasty Pub Quiz,103000,"Welcome to the M&S YouTube channel! Here you'll find some food styling top tips, gorgeous recipes, Cooking with the Stars extras and interviews with the famous faces behind our campaigns!",1610,"Oct 19, 2009"
166545068,https://www.youtube.com/watch?v=KVUOAY9YmGw,0:56,6 days ago,The Claire Richards Round | The Brits | Proper Tasty Pub Quiz,103000,"Welcome to the M&S YouTube channel! Here you'll find some food styling top tips, gorgeous recipes, Cooking with the Stars extras and interviews with the famous faces behind our campaigns!",1610,"Oct 19, 2009"
166545068,https://www.youtube.com/watch?v=Huk83MEYZ7M,1:01,6 days ago,The Claire Richards Round | M&S Collection Pizzas | Proper Tasty Pub Quiz,103000,"Welcome to the M&S YouTube channel! Here you'll find some food styling top tips, gorgeous recipes, Cooking with the Stars extras and interviews with the famous faces behind our campaigns!",1610,"Oct 19, 2009"
166545068,https://www.youtube.com/watch?v=zN_POOmfnpc,1:00,6 days ago,The Andi Oliver Round | The Great British Menu | Proper Tasty Pub Quiz,103000,"Welcome to the M&S YouTube channel! Here you'll find some food styling top tips, gorgeous recipes, Cooking with the Stars extras and interviews with the famous faces behind our campaigns!",1610,"Oct 19, 2009"
166545068,https://www.youtube.com/watch?v=mWc6n_RdKoM,0:59,6 days ago,The Andi Oliver Round | M&S Greek Food | Proper Tasty Pub Quiz,103000,"Welcome to the M&S YouTube channel! Here you'll find some food styling top tips, gorgeous recipes, Cooking with the Stars extras and interviews with the famous faces behind our campaigns!",1610,"Oct 19, 2009"
166545068,https://www.youtube.com/watch?v=8lSWRLWJgzA,1:00,6 days ago,The Andi Oliver Round | Foraging | Proper Tasty Pub Quiz,103000,"Welcome to the M&S YouTube channel! Here you'll find some food styling top tips, gorgeous recipes, Cooking with the Stars extras and interviews with the famous faces behind our campaigns!",1610,"Oct 19, 2009"
166545068,https://www.youtube.com/watch?v=yqYeGGJkKuY,1:01,2 weeks ago,The Thomas Straker Round | Butter | Proper Tasty Pub Quiz,103000,"Welcome to the M&S YouTube channel! Here you'll find some food styling top tips, gorgeous recipes, Cooking with the Stars extras and interviews with the famous faces behind our campaigns!",1610,"Oct 19, 2009"
