hashtags,url,locationName,paidPartnership,caption,videoDuration,commentsCount,mentions,isSponsored,timestamp,likesCount,num_mentions,topic
"xinomavro, xinomavrorose, rosewine, myrtiawine, winelabel, winelabeldesign, graphicdesign, labeldesign, packagindesign, packaginginspiration, winelabels, winelabelart, greekwine, mandsfood, mandswine, thisisnotjust, rosé",https://www.instagram.com/p/DKMbmdrNcDh/,,,"Rosé with the X factor! 

#xinomavro #xinomavrorose #rosewine #myrtiawine #winelabel #winelabeldesign #graphicdesign #labeldesign #packagindesign #packaginginspiration #winelabels #winelabelart #greekwine #mandsfood #mandswine #thisisnotjust #rosé",,0.0,,1.0,2025-05-28,4.0,0,"""Everyday Style"""
"MandSCy, Symeonides, thisisnotjust",https://www.instagram.com/p/DKL69FkCHUX/,,,"⭐ New in the M&S Foodhall - Ready for some GIANT news? 

Say  hello to our Giant Custard Creams and Giant Bourbon Biscuits!  Your favourite teatime classics (just bigger) are waiting for you to layer some ice cream, and instantly create – you guessed it – the perfect ice cream sandwich. 

Find them in your local M&S Foodhall 

#MandSCy #Symeonides #thisisnotjust",,0.0,,1.0,2025-05-28,13.0,0,"""Easter Indulgence"""
"thisisnotjust, Marksandspencersguernsey, M&Sfood",https://www.instagram.com/p/DKJrfyERKtn/,,,"We have everything in store for you to host the most memorable BBQ’s and Picnics this Spring! 

#thisisnotjust #Marksandspencersguernsey #M&Sfood",,0.0,,1.0,2025-05-27,1.0,0,"""Easter Indulgence"""
"cosy, hotchocolate, cookies, dunk, biscuit, dunking, cosyvibes, chocolate, hotelchocolat, foodie, hotdrink, mymarks, thisisnotjust, cookiedunkers, maltedmilk, new, relaxed, cosynights, coffee, tea, yum, nifoodblogger, belfastblogger, nibloggers, nifoodie, foodstagram",https://www.instagram.com/p/DKERqttut9l/,,,"You need these cookie dunkers in your life marksandspencerfood 

#cosy #hotchocolate #cookies #dunk #biscuit #dunking #cosyvibes #chocolate #hotelchocolat #foodie #hotdrink #mymarks #thisisnotjust #cookiedunkers #maltedmilk #new #relaxed #cosynights #coffee #tea #yum #nifoodblogger #belfastblogger #nibloggers #nifoodie #foodstagram",,1.0,,1.0,2025-05-25,,0,"""Easter Indulgence"""
"MyMarksFave, ThisIsNotJust",https://www.instagram.com/p/DKAbaR3tVqc/,,,"Tonight on the menu: Gnocchi with basil, lemon and peas, a quick dinner idea that still feels that extra bit special, thanks to @MarkMoriarty1.

 Catch Cook Like a Chef with Mark Moriarty in partnership with @mandsireland every Wednesday at 8pm on RTÉ One.

#MyMarksFave #ThisIsNotJust",,0.0,"MarkMoriarty1., mandsireland",1.0,2025-05-23,23.0,2,"""Pub Vibes"""
"TRUTHMatters, ColonialismOnSteroids, MurderIncOnSteroids, ConnectTheDots, MoralDepravityOnSteroids, SUPERPREDATORSOnSteroids, ThisIsGENOCIDEOnSTEROIDS, WesternGENOCIDEbyPROXYOnSTEROIDS, USGENOCIDEbyPROXYOnSteroids, ImperialismOnSteroids, InternationalPoliticalKabukiTheatreOfTheMacabre, AliceDownTheRabbitholeTRAGIC, EcosystemOfImperialism, TheCenterCANNOTHold, EMPIREHasNoClothes, RankHYPOCRISYOnSteroids, RACISTMuch, EndTheOCCUPATION, FreePALESTINE, NONEOfThisIsNORMAL, ThisIsNotJUST",https://www.instagram.com/p/DJ_3i5FNyGr/,,,"BELIEVE your lying eyes
FOCUS
Seek+SpeakTRUTH
#TRUTHMatters

ANNIHILATE Palestinians
DISPOSSESS them
STEAL LAND+RESOURCES
ENRICH rich @ expense of poor + dispossessed

#ColonialismOnSteroids
Moral depraved PREDATORY PARASITIC mentality of EXPLOITATION of others resources by ANY  MEANS  NECESSARY DEHUMANIZING DEMONIZING + SUBJUGATING those whose resources they are + feeling COMPLETELY entitled

Centuries-long Ethnic Cleansing Genocidal Statecraft Masquerafing as Foreign Policy bt TERRORIST STATES  Terrorist Allies + Proxies #MurderIncOnSteroids

#ConnectTheDots
ANOTHER LUIGI MANGIOLO MOMENT

Full spectrum PREPINDERANT global DOMINANCE by ANY MEANS NECESSARY

#MoralDepravityOnSteroids
#SUPERPREDATORSOnSteroids
#ThisIsGENOCIDEOnSTEROIDS
#WesternGENOCIDEbyPROXYOnSTEROIDS
#USGENOCIDEbyPROXYOnSteroids

#ImperialismOnSteroids
#InternationalPoliticalKabukiTheatreOfTheMacabre 
#AliceDownTheRabbitholeTRAGIC

#EcosystemOfImperialism

We were told that VIOLENCE in itself IS EVIL + that whatever the cause it is unjustified morally
By what STANDARDS OF MORALITY can VIOLENCE USED BY A SLAVE TO  BREAK HIS CHAINS be considered the same as the violence of a slave master? If there is to be any proving of our humanity, it must be by revolutionary means
Walter  Rodney

Not everything that is faced can be changed, but nothing can be changed until it is faced.
James Baldwin

Nobody in the world, nobody in history, has ever gotten their freedom by appealing to the moral sense of the people who were oppressing them
Assata Shakur

Things fall apart the center cannot hold
Mere anarchy is loosed upon the world
The best lack all conviction while the worst are full of passionate intensity
Keats

#TheCenterCANNOTHold
#EMPIREHasNoClothes
#RankHYPOCRISYOnSteroids
#RACISTMuch

#EndTheOCCUPATION
#FreePALESTINE

#NONEOfThisIsNORMAL
#ThisIsNotJUST",,0.0,,1.0,2025-05-23,1.0,0,"""Everyday Style"""
ThisIsNotJust,https://www.instagram.com/p/DJ_od0jsZBM/,"Jersey, Channel Islands",,"It’s officially strawberry season! Our British strawberries are hand-picked for their incredible flavour and juiciness – we think they’re the best you’ll ever taste! 

Perfect treat for the bank holiday weekend! Available in your local M&S Foodhall now!

#ThisIsNotJust",,0.0,,1.0,2025-05-23,6.0,0,"""Easter Indulgence"""
"rose, etnarosato, etna, winelabel, winelabeldesign, graphicdesign, designers, packaging, packaginginspiration, packagingdesign, winepackaging, winelabels, labeldesign, thisisnotjust, mandswine, mandsfood",https://www.instagram.com/p/DJ_Y0lytdWd/,,,"Cool rosé from the heat of the earth 

#rose #etnarosato #etna #winelabel #winelabeldesign #graphicdesign #designers #packaging #packaginginspiration #packagingdesign #winepackaging #winelabels #labeldesign #thisisnotjust #mandswine #mandsfood",,0.0,,1.0,2025-05-23,14.0,0,"""Everyday Style"""
"cosy, hotchocolate, cookies, dunk, biscuit, dunking, cosyvibes, chocolate, hotelchocolat, foodie, hotdrink, mymarks, thisisnotjust, cookiedunkers, maltedmilk, new, relaxed, cosynights, coffee, tea, yum, nifoodblogger, belfastblogger, nibloggers, nifoodie, foodstagram",https://www.instagram.com/p/DJ-UDLdtsR2/,,,"You need these cookie dunkers in your life marksandspencerfood 

#cosy #hotchocolate #cookies #dunk #biscuit #dunking #cosyvibes #chocolate #hotelchocolat #foodie #hotdrink #mymarks #thisisnotjust #cookiedunkers #maltedmilk #new #relaxed #cosynights #coffee #tea #yum #nifoodblogger #belfastblogger #nibloggers #nifoodie #foodstagram",,0.0,,1.0,2025-05-22,,0,"""Easter Indulgence"""
"thisisnotjust, weekend, pizza",https://www.instagram.com/p/DJ-BMm0M9Nj/,Marks and Spencer,,"Wood-fired, hand stretched and ready to WOW your weekday dinner
 
Our Ultra-Thin Collection Pizzas are the real deal, made with specialty-grade flours for a beautifully charred crust and that perfect crisp and chewy base
 
And there really is a slice for ALL pizza lovers, from Margherita with Basil Pesto and Fennel, Salami & Red Onion to Spicy Chicken Arrabbiata and MORE (yes plenty more)! 
 
Ultra-thin, ultra-tasty, pizza night has just upgraded
 
Find our Ultra-Thin Collection Pizza range in your M&S Foodhall 
#thisisnotjust 
#weekend 
#pizza",,0.0,,1.0,2025-05-22,1.0,0,"""Pub Vibes"""
"icecream, MandSCy, Symeonides, thisisnotjust",https://www.instagram.com/p/DJ8eLFbCQa4/,,,"⭐ Scoop it, load it, love it  

 Top of the Chocs: a chocolate lover’s dream, blending dark chocolate ice cream with chocolate coated biscuit bits and decadent chocolate truffles.
 Movie Night Popcorn Flavour: a cinematic treat, with rich caramel swirls and crunchy chocolate coated pretzel pieces.
 Nut your Average: a sumptuous hazelnut and milk chocolate ice cream, speckled with whole praline hazelnuts.

Find our Fully Loaded #icecream tubs in your local M&S Foodhall or via the link in bio NOW! 

#MandSCy #Symeonides #thisisnotjust",,0.0,,1.0,2025-05-22,6.0,0,"""Easter Indulgence"""
"MyMandS, MandSStyle, MarksandSpencer, MandSHome, MandSStationery, ThisIsNotJust",https://www.instagram.com/p/DJ58dNSz6MP/,Shopian district,,"Quality you trust, style you love. This is M&S.”

#MyMandS
#MandSStyle
#MarksandSpencer
#MandSHome (if styled for gifting or décor)
#MandSStationery
#ThisIsNotJust",,0.0,,1.0,2025-05-21,1.0,0,"""Summer Style"""
"biscuit, MandSCy, Symeonides, thisisnotjust",https://www.instagram.com/p/DJ395S-Ri_Q/,,,"⭐ New in the M&S Foodhall

Our shelves in the #biscuit aisle are stacked... and your cravings are about to be satisfied! All, baked for a satisfyingly crunchy texture and perfect for dunking in your cuppa. ☕

Come find your new fave in your local M&S Foodhall or via the link in bio. 

#MandSCy #Symeonides #thisisnotjust",,0.0,,1.0,2025-05-20,9.0,0,"""Fresh Finds"""
"marksandspenerczechrepublic, marksandspencerceskarepublika, mezinarodnidencaje, fairtrade, fairtradecaj, thisisnotjust, marksandspencerpotraviny",https://www.instagram.com/p/DJ3qAqNgZwV/,,,"Je jedno jestli ovocný, bylinný, černý, zelený nebo kořeněný. Čaj u nás milujeme v jakékoli podobě. 

Dnes je skvělá příležitost dopřát si svůj oblíbený šálek. Tento hřejivý nápoj má totiž dnes svůj svátek – slaví se totiž Mezinárodní den čaje!  Tak na zdraví. 

#marksandspenerczechrepublic #marksandspencerceskarepublika #mezinarodnidencaje #fairtrade #fairtradecaj #thisisnotjust #marksandspencerpotraviny",,1.0,,1.0,2025-05-20,22.0,0,"""Style Academy"""
"MyMarksFave, ThisIsNotJust",https://www.instagram.com/p/DJuO3rTNQWL/,,,"Tonight on the menu: Mongolian stir-fried beef mince with fried egg and steamed rice, courtesy of @MarkMoriarty1.

 Catch Cook Like a Chef with Mark Moriarty in partnership with @mandsireland every Wednesday at 8pm on RTÉ One.

#MyMarksFave #ThisIsNotJust",,0.0,"MarkMoriarty1., mandsireland",1.0,2025-05-16,47.0,2,"""Pub Vibes"""
"frozenfruits!, MandSCy, Symeonides, thisisnotjust",https://www.instagram.com/p/DJn32fJCZGq/,,,"A swirl of yoghurt, a sprinkle of crunch, and your favourite #frozenfruits! 
Discover a colourful fruit medley of juicy mango, plump blueberries, and ripe raspberries, perfect for chia puddings, yoghurt parfaits (and more!) in your local M&S Foodhall or via the link in bio. 
#MandSCy #Symeonides #thisisnotjust",,0.0,,1.0,2025-05-14,6.0,0,"""Easter Indulgence"""
"marksandspencerczechrepublic, marksandspencerceskarepublika, denmatek, denmatekdarek, thisisnotjust, marksandspencerpotraviny",https://www.instagram.com/p/DJgGpFnMbWG/,,,"Dnešní den patří ženám, které s námi byly u prvních slov, prvních krůčků i prvních přípitků. ❤️

Dnes patří všechny přípitky jim – maminkám. Na zdraví! 

#marksandspencerczechrepublic #marksandspencerceskarepublika #denmatek #denmatekdarek #thisisnotjust #marksandspencerpotraviny",,0.0,,1.0,2025-05-11,129.0,0,"""Style Academy"""
"marksandspencerceskarepublika, marksandspencerczechrepublic, marksandspencerpotraviny, thisisnotjust, fairtrade, spravedlivyobchod",https://www.instagram.com/p/DJdh1Y6RxCM/,,,"Jak začít Světový den pro fair trade? Přece šálkem kávy nebo čaje od certifikovaných famářů.♻️

Podporujeme spravedlivý obchod, proto si dáváme záležet, aby naše kávová zrna a čajové lístky pocházeli z oveřených a férových zdrojů. 

#marksandspencerceskarepublika #marksandspencerczechrepublic #marksandspencerpotraviny #thisisnotjust #fairtrade #spravedlivyobchod",,0.0,,1.0,2025-05-10,34.0,0,"""Style Academy"""
"beautydetectivecom, beautybox, ukbeautybox, beautyboxuk, beautyboxes, ukbeautyboxes, beautyboxesuk, beautyboxlover, beautyboxlovers, marksandspencer, marksandspencerbeauty, marksandspencerbeautybox, marksandspencerbox, msbeauty, msbeautybox",https://www.instagram.com/p/DKMn1krohFQ/,,,"M&S has announced the M&S Summer Beauty Bag 2025

You can see some details via the link in bio 

#beautydetectivecom #beautybox #ukbeautybox #beautyboxuk #beautyboxes #ukbeautyboxes #beautyboxesuk #beautyboxlover #beautyboxlovers #marksandspencer #marksandspencerbeauty #marksandspencerbeautybox #marksandspencerbox #msbeauty #msbeautybox",,0.0,,1.0,2025-05-28,1.0,0,"""Seasonal Style"""
"mymarks, babyootd, babyoutfit, babygirls, mymarksfave, marksandspencers, marksandspencer, babyclothing, babygirlclothes, babygirloutfit, happybaby, maternity, matleave, mummydaughtertime, mummyanddaughter, ourgirl, smile, smileeveryday, fyp, peach, lifesapeach",https://www.instagram.com/p/DKMlAZ1NK60/,,,"Life’s a peach 

 Rosie’s outfit is @marksandspencer 

#mymarks #babyootd #babyoutfit #babygirls #mymarksfave #marksandspencers #marksandspencer #babyclothing #babygirlclothes #babygirloutfit #happybaby #maternity #matleave #mummydaughtertime #mummyanddaughter #ourgirl #smile #smileeveryday #fyp #peach #lifesapeach",,0.0,marksandspencer,1.0,2025-05-28,2.0,1,"""Summer Style"""
"poshdog, marksandspencer, food, favorite",https://www.instagram.com/p/DKMh51jqg7Q/,,,"Who needs dirty fries when you can make a dirty poshdog
Poshdog, with poshdog mustard, mayonnaise, fried & raw onions, red chilli, smoked bacon pieces, pork pieces, fried tomato, a little bit of Korean chicken, with a side of avocado, radish & red pepper.
Very tasty
#poshdog
#marksandspencer
#food
#favorite

@marksandspencerfood @marksandspencer
@paco_poodle8 being hopeful there is some Poshdog left for him",,1.0,"marksandspencerfood, marksandspencer, paco_poodle8",1.0,2025-05-28,3.0,3,"""Pub Vibes"""
"marksandspencer, notjustanyknickers",https://www.instagram.com/p/DKMeAzNtk_M/,"Hertford, Hertfordshire",,"Get back what you put in.
 
Energy, vibes, eating & movement.
Spiritually, emotionally, mentally & physically.
 
Smile like you mean it. Thanks to those who earn it. 
Even to strangers and especially to those in service of us. 
 
You never know when the awesome #marksandspencer lady might give you a free bouquet! 
 
Thanks @marksandspencer 

#notjustanyknickers",,1.0,marksandspencer,1.0,2025-05-28,4.0,1,"""Everyday Style"""
"localoutreach, communityoutreach, englefieldgreenies, englefieldgreen, runnymede, communityaction, brooklands, marksandspencers, shoppingbus, communitybus, goshopping, marksandspencer, lunchwithfriends, englefieldgreenactivities, runnymedeevents, Hallhire, seniorsactivities, getinvolved, thevillagecentre",https://www.instagram.com/p/DKMd-4kvPAN/,,,"The Community Bus is running on the 1st & 3rd Tuesday of every month, taking you to Marks & Spencer at Brooklands. This is a lovely trip to the shops if you don’t have a car, and return fare is £5.

Pickups will be from Hanover Close, Schroder Court, The Hub & The Village Centre starting from 10.30am, exact timings to be confirmed depending on bookings received.

Return time to Englefield Green will be approximately 1.30pm. There are 8 seats on the minibus to enable space for walking aids and shopping. 

Bookings can be made via The Village Centre - call 01784 471110 or email manager@villagecentre.org.uk. Get in touch to reserve your seat!

#localoutreach #communityoutreach #englefieldgreenies #englefieldgreen #runnymede #communityaction #brooklands #marksandspencers #shoppingbus #communitybus #goshopping #marksandspencer #lunchwithfriends #englefieldgreenactivities #runnymedeevents #Hallhire #seniorsactivities #getinvolved #thevillagecentre",,0.0,villagecentre.org.uk.,1.0,2025-05-28,,1,"""Style Finds"""
"CommunityWorkout, BattleRopes, FreeFitness, MarksAndSpencer, GetMoving, MorningMotivation, CommunitySpirit",https://www.instagram.com/p/DKMbrnusekP/,Peregrine Watch,,"The community exercise class kicked off with a banger this morning — the battle ropes stole the show! 

We’re here daily from 10–10:30 AM, and it’s FREE + open to everyone. No sign-up needed, just show up and move with us! 

Also — we had a lovely delivery from M&S last night ️ Plenty to go round, so please come help yourself!

See you tomorrow? 
#CommunityWorkout #BattleRopes #FreeFitness #MarksAndSpencer #GetMoving #MorningMotivation #CommunitySpirit",,0.0,,1.0,2025-05-28,6.0,0,"""Everyday Style"""
"kidshubmv, eidgiveaway, marksandspencer, giveawaymv, maldivesmoms, toddlersfashion",https://www.instagram.com/p/DKMaGnYhFJM/,,,"EID GIVEAWAY 
We’re giving away this lovely Marks & Spencer Pure Cotton Polka Dot Dress (2–3 years) — perfect for your little one’s Eid look.

To enter:
• Like this post 
• Follow @kidshubmv
• Tag 3 friends in the comments 
• Share this post to your story and tag @kidshubmv 

 Giveaway runs from today until June 5th
Winner will be announced on 6th june 2025.

✨ Bonus: More entries = more chances to win! ✨

#kidshubmv #eidgiveaway #marksandspencer #giveawaymv #maldivesmoms #toddlersfashion",,0.0,kidshubmv,1.0,2025-05-28,1.0,1,"""Summer Style"""
