text,created_time,hashtags,shareCount,mentions,commentCount,playCount,collectCount,diggCount,num_mentions,topic
"✨ Summer Vibes Alert! ✨  Hey, beautiful souls! ☀️ I just received the most fabulous haul from @Next , and I couldn’t wait to share it with you all!  Join me as I try on these stunning size 18 summer styles that’s giving me all the sunshine feels!  The flowy fabric and vibrant colors are perfect for those warm, sunny days. And trust me, it’s as comfy as it is cute!   Swipe through and let me know which outfit is your fave!  Don’t forget to hit that like button if you’re ready to embrace summer in style!  #PlussizeFashion #SummerHaul #NextFashion #OOTD #BodyPositivity #FashionForAll   Tag a friend who needs to see this! ",2025-05-28,"plussizefashion, summerhaul, nextfashion, ootd, bodypositivity, fashionforall",9,@Next,12,15800,32,253,1,"""Seasonal Style"""
Okay @Next !! I SEE YOU they’ve got dopamine dressing down and I am OBSESSED✨ Which shall I keep though?!✨ also I need to mention my perfect hat from @Joanie Clothing *pr gift protecting my lil head from getting burnt again #next #nextfashion #nextclothing #size18 #size16 #springfashıon #dopaminedressing #colourfulclothes #midsizefashion #plussizefashion #plussize #bodypositive ,2025-04-12,"next, nextfashion, nextclothing, size18, size16, springfashıon, dopaminedressing, colourfulclothes, midsizefashion, plussizefashion, plussize, bodypositive",379,"@Next, @Joanie Clothing",68,141400,842,5834,2,"""Seasonal Style"""
Spring/Summer finds at Next ️  #newin #nextfashion #HighStreetFinds #summervibes #sprinfashion #SummerFashion #fashiontiktok #fashion #fyoupage @Next ,2025-04-12,"newin, nextfashion, HighStreetFinds, summervibes, sprinfashion, SummerFashion, fashiontiktok, fashion, fyoupage",453,@Next,40,50400,465,1855,1,"""Seasonal Style"""
simply obsessed ✨ @Next  #toddlermum #toddlermom #boymom #boymum #toddlersoftiktok #toddler #toddlerboy #toddlerfashion #fashion #toddlerootd #ootdinspo #boysfashion #boysclothes #outfitinspo #foryoupage #fyp ,2025-02-10,"toddlermum, toddlermom, boymom, boymum, toddlersoftiktok, toddler, toddlerboy, toddlerfashion, fashion, toddlerootd, ootdinspo, boysfashion, boysclothes, outfitinspo, foryoupage, fyp",2222,@Next,165,242600,4031,10500,1,"""Seasonal Style"""
The @Next dress of dreams ✨♥️♥️☀️☀️☀️ #next #nextfashion #nextofficalpr #summer #summerfashion #fashion #ootd #plussize #curve ,2025-05-10,"next, nextfashion, nextofficalpr, summer, summerfashion, fashion, ootd, plussize, curve",427,@Next,60,237700,542,4651,1,"""Seasonal Style"""
Are you the next fashion designer in your city? ✨ - - #fashion #success #fyi #funny #design #student #fyiiiiiiiiiiiiiiiiiiiippppppppppppp #foryoupage #fouryou ,2025-03-08,"fashion, success, fyi, funny, design, student, fyiiiiiiiiiiiiiiiiiiiippppppppppppp, foryoupage, fouryou",42,,23,19600,230,1868,0,"""Seasonal Style"""
The countdown is on for Zara’s next runway comp  #fashion #style #model #beauty #missuniverse #future #star #fyp #Runway #kidsoftiktok,2025-05-29,"fashion, style, model, beauty, missuniverse, future, star, fyp, runway, kidsoftiktok",0,,2,604,5,56,0,"""Seasonal Style"""
Would you let us style you? #imnext #fashion #public #mall #fyp #fy,2024-12-28,"imnext, fashion, public, mall, fyp, fy",156,,77,446300,956,22500,0,"""Summer Trends"""
We need them ALL  #fyp #graphictee ,2025-05-18,"fyp, graphictee",1460,,28,153600,825,4668,0,"""Summer Trends"""
3 ways to style our NEW yellow rugby shirt  #fyp #rugbyshirt ,2025-05-29,"fyp, rugbyshirt",1,,1,468,1,23,0,"""Summer Trends"""
Finally found the viral snoopy t-shirt  #fyp #snoopy #snoopytshirt ,2025-05-29,"fyp, snoopy, snoopytshirt",862,,19,41500,244,1544,0,"""Summer Trends"""
Who wants to see it on!?  #fyp #crab ,2025-05-25,"fyp, crab",30,,1,15800,19,187,0,"""Summer Trends"""
This might be our new fav colour for spring  #fyp #dustypink ,2025-05-18,"fyp, dustypink",4,,2,9862,4,144,0,"""Summer Trends"""
NexT1DE is here，yaozihao working now！#next1de ,2025-04-24,next1de,2510,,1087,771700,8275,165100,0,"""Everyday Style"""
#next1de #next1dechallenge before the stage. ohna! Come and dance with us! ,2025-05-11,"next1de, next1dechallenge",350,,295,53000,754,12900,0,"""Seasonal Style"""
The ultimate Eid outfit inspo ✨ @jasminxomar #fyp #eidoutfits #eidoutfitideas ,2025-02-24,"fyp, eidoutfits, eidoutfitideas",245,@jasminxomar,50,2900000,324,2814,1,"""Seasonal Style"""
