text,hashtags,duration,date,url,commentsCount,viewCount,title,numberOfSubscribers,channelName,likes,topic
"   • Shopping Vlogs  

Next Stores UK sale has started offering 50% off clothing on Menswear, Ladies-wear, kids wear. It’s running online and in stores across the UK. 

Next store uk
next store
next clothes
next
next women
next collection
next shopping
next mystery shop event
next discount event
Next shopping haul
high street shopping
shop with me
next clothing
Shopping haul
ulta shopping haul
come shopping with me
big haul
ulta shopping spree
come shopping with me at ulta
shop with me
primark shopping vlog
come shopping with me
shopping vlog
tk maxx uk
come shopping with me primark
come to the mall with me
shopping with me
come shopping with me uk
shop with me vlog
mall vlog
zara shopping
shop with me uk
clothing haul
come shop wit me
shopping vlog uk
shop with me zara
uk vlogs
selfridges shopping
uk vlog
h&m shop with me
travel vlog
shopping vlog
how to make a shopping list
shopping convenience
money saving tips
smart shopping
shopping experience
ios shopping
rich girl clothing haul
try on clothing haul
best streetwear brands
end of summer clothing haul
streetwear clothing haul
fashion haul
men’s clothing haul
back to school clothing haul
expensive haul
fall fashion
huge clothing haul
clothing brands
clothes
shopping vlog
my recent pickups
try on
what to wear
fashion pickups
best clothing brands
come to the mall
with me
best fashion brands
end of summer haul
expensive clothing haul
collective haul
clothing try-on haul
clothing review
clothing pickups

#next #shopping #shoppingvlog #shoppinghaul #shoppingonline #shopwithme #shoppingonline #shoppingmall #shoppingtime #shoppingvlogs #shoppingbag #shoppingvideo #shoppingspree #comeshoppingwithme #clothinghaul #clothingstore #luxurylifestyle #sufysfoodtravel","#shoppingtime, #shopwithme, #luxurylifestyle",00:14:14,2025-03-23,https://www.youtube.com/watch?v=HG3AaqAH2jY,9,945,Big Sale | Next Stores UK | 50% Off | Next Clothing Haul | Come Shop With Me,508,Sufy’s Food Travel,16,"""Style Finds"""
"Decided to do some online shopping this week for a change as I've had a busy week so thought I would have a look on the Next website and I'm so glad I did. I picked some gorgeous dresses that were new in and will be perfect for Spring and Summer.  Some of the items are from Jo Browns, Lipsey, Roman and Laura Ashley all available online at Next.  I can't wait to wear them and with the weather getting warmer it's the perfect time to buy them before they all get snapped up.  

Hello my name is Pat and welcome to my channel RicherinYears. I am 75 years of age, 5'3"" and a dress size 10-12.  I love sharing with you my love of fashion, style and Beauty regime.  I hope you enjoy my videos and hope they give you lots of ideas and inspiration. ❤ 

https://www.next.co.uk 

Pink/White Top - Roman
https://www.next.co.uk/style/su126451...
Price: £37.00 

Green Dress - Jo Browns
https://www.next.co.uk/style/su645102...
Price: £58.00 

Gold Sandals - Friends Like These
https://www.next.co.uk/style/su507071...
Price: £36.00 

Navy/White Jersey Dress - Lipsey
https://www.next.co.uk/style/su545607...
Price: £46.00 

Coral Dress - Laura Ashley
https://www.next.co.uk/style/su466506...
Price: 39.00 

Pink Maxi Dress - Roman
https://www.next.co.uk/style/su373412...
Price: £50.00 

Blue dress - Jo Browns
https://www.next.co.uk/style/su645150...
Price: £65.00



                      
          Hope you enjoy my picks for today, thank you for watching ♥️ 
                                           
                                   Please like and subscribe ❤


Instagram:  Richerinyears 

For Business/Collaboration enquiries please contact me 
on Pat@Richerinyears.co.uk 



#next #MandS #tuatsainsbury​ #zara​ #CharlotteTilbury​ #revolution​ #elf​ #maybelline​ #Beauty​ #makeup​  #over60s​ #over​ 70s #hm​ #marksandspencer​ #holidays​ #cruising​ #virgin​ #jet2​ #aronagranhotel​ #hermes​ #chanel​ #prada​ #cledepeau​ #dior​ #esteelauder​ #cartier​ #rolex​ #fashion #spring #summer #holidays #Roman #lauraashley","#cledepeau​, #jet2​, #hermes​",00:18:24,2025-03-21,https://www.youtube.com/watch?v=2nrwYST8r4Q,91,7475,NEXT FASHION New In for SPRING 50s  60s  70s  My haul & Try on at 75,6830,RicherInYears,485,"""Seasonal Style"""
"WHATS NEW IN NEXT FOR SPRING 2025 Try on Haul and Shopping with Sally
Come with me to Next for Women Over 40
️  Shop My Outfit Today 
Jeans https://rstyle.me/+jaUyREHEc0kZ3NjE-2...
Cardigan Nearest Style https://rstyle.me/+g12g0uA0N8YfhzhkK_...
Bag https://rstyle.me/+qylrcs76cWQ4ebxIwe...
Sneakers https://rstyle.me/+qqN0qETVfwytX9MYVz...
My Lipstick https://amzn.to/4iUu4ZE
My Camera https://amzn.to/4bFruo3


SHOP WITH ME AT NEXT If you love fashion hauls, try-on videos, and styling tips for women over 40, you’re in for a treat! Today, I’m taking you on a fashion shopping vlog at NEXT, exploring their newest clothing collections for women who want to look stylish, youthful, and put-together without spending a fortune.

 WHAT YOU’LL SEE IN THIS VIDEO:
✔️ The best Spring looks in the store right now 
✔️ Chic and timeless wardrobe essentials that elevate your style
✔️ Next fashion try on
✔️ The best jeans, tops, and blouses for a modern, age-confident look
✔️ Try-on styling tips to help you put together outfits that slim, flatter, and refresh your wardrobe

Items can be found online at www.next.com and in your local store 

 Whether you’re looking for casual chic outfits, workwear inspiration, or just love a good fashion haul, this vlog is packed with ideas to keep you looking youthful, confident, and effortlessly stylish!

 COMMENT BELOW: What’s your favorite find from this shopping trip? Would you wear these outfits? Let’s chat!

 SUBSCRIBE for more fashion hauls, style hacks, anti-aging beauty tips, and shopping vlogs for women over 50!

---------------------------------------------------------------------------------------------------
⭐️ My USA & Global Amazon Store 
amazon.com/shop/sallyatkins
￼
⭐️ My UK Amazon Store: amazon.co.uk/shop/sallyatkins

 Business and Collaboration Enquiries ONLY 
fabover50channel@gmail.com

‍♀️ About me: UK based Beauty Expert and tutor with over 30 years in the beauty, wellness and fashion industries. 
55 years old
Dress size: UK 12 / US 8 or Medium
Weight: 63kilos  or 10st
Height: 5ft.7""
Naturally Fair / Blonde
Skin: Normal/sensitive but sun damaged. Obvious Signs of ageing and allergies and Eczema on Neck and chest.
.
 Any recommendations are based on my own experience and do not constitute or serve as professional advice.

Disclaimer - This video is NOT sponsored.  I may use affiliate links where applicable. If you do choose to purchase through any of my links you will not pay any more or less. A tiny percentage of the sale will go to the person who generated the link. Thank you so much for your support of my channel and Happy Shopping.

#styleover50 #fabulousover50 #shoppingvlog","#styleover50, #shoppingvlog, #fabulousover50",00:49:27,2025-03-16,https://www.youtube.com/watch?v=T24T2TvDvkU,204,31313,WHATS NEW IN NEXT FOR SPRING 2025 Try On and Shopping with Sally,7890,Sally Atkins,1000,"""Seasonal Style"""
,,00:15:53,2025-04-25,https://www.youtube.com/watch?v=gvLoXi_lIIY,0,1338,NEXT NEW COLLECTION| APRIL 2025| Gazingpearl Life #gazingpearllife #next #haul #dresses #shopping,4410,GazingPearl Life,19,"""Fashion Trends"""
"Hello Everyone:) A visit to NEXT store to find out what they have new in WOMENS CLOTHING SECTION. They have huge collection of  TOPS,TROUSERS,KNITTED WEAR , Dresses,OUTERWEAR  etc . Hope you like the video x  


If you like to watch my videos, kindly hit the like button , Comment if you can, subscribe to my channel and stay tuned for more videos x 

Thankyou to you all who has already subscribed to my channel,  kindly hit the BELL  icon to get notifications about every new uploaded  video xx 

Love, 
Ana   

#next  #nexthaul    #nextclothing    #nextuk   #nextstore  #nextfinds  #tops   #newfinds #new  #newwintercollection #haul #haulvideo   #springcollection  #spring  #spring2025   #latestfashiontrends #newwintercollection # #womensfashion #findandshopwithana #fashiontrends #haulvideo  #dresses  #coats #jackets #womensouterwear #outerwear #knittedsweater #springcollection  #march2025  #2025 #newyearcollection #tops #trouser #springcollection 

#latestfashiontrends #affordablefashion #fashion #wintercollection #spring  
#comeshoppingwithme #womensclothing#womensfashion #newcollection #shoppinghaul #findandshopwithana  #latestfashiontrends #winter trends #winterfinds #trendswintercollection #onlineshopping shopping","#winter, #coats, #trouser",00:13:56,2025-03-07,https://www.youtube.com/watch?v=XR13Ob3JcNc,4,4767,♦️N E X T♦️WHAT’S NEW IN STORE NEW WOMENS CLOTTING COLLECTION with PRICES♦️ March 2025♦️SPRING HAUL,4030,Find & Shop with Ana,44,"""Seasonal Style"""
,,00:15:56,2025-05-03,https://www.youtube.com/watch?v=BMsEUNxQdzA,0,843,NEXT NEW DRESSES| MAY 2025| Gazingpearl Life #gazingpearllife #next #haul #dresses#fashion#shopping,4410,GazingPearl Life,11,"""Fashion Trends"""
,,00:15:06,2025-04-26,https://www.youtube.com/watch?v=vfk4fJ6MTxo,0,796,NEXT NEW DRESSES| APRIL 2025| Gazingpearl Life #gazingpearllife #next #haul #dresses #shopping,4410,GazingPearl Life,11,"""Fashion Trends"""
"M&S HAUL 2025 | NEXT HAUL | and other outlet shopping
Hi everyone,

I popped into marks and spencer for a change and i picked up some new cleaning products, homewares, lingerie and beauty bits. I was so impressed with all of my new purchases and cant wait to use them.

Hope you enjoy this m&s haul

Emily xx
instagram: @projectmumx

projectmumyt@gmail.com",,00:18:02,2025-04-24,https://www.youtube.com/watch?v=HdSrUCImWh8,11,4631,M&S & NEXT HAUL (and more!) | OUTLET SHOPPING,12400,Project Mum,228,"""Style Finds"""
"A big warm welcome to my channel 

I am Claire a 40 something wife and Mum of two gorgeous boys. 

Today I’m bring you a Next Summer try on haul I’m currently shopping for my holiday which is rapidly approaching.

Sizing reference 
I am a size 14 
Height 5ft 11 
Bust 34G 

All clothes in today’s vlog are from Next current stock purchased end of April 25. Size 14 the trousers are tall which is longer then next long.

Hope you enjoy 
Claire 





#nextclothing 
#next #mumstyle #tallgirlstyle #tallhaul #clothinghaul #holidaystyleinspo #summerfashion #40somethingstyle #midsizefashion #midsizestyle #tryon 
#haul 
#nexthaul 
#clairemariehoward #curvygirloutfits",,00:19:08,2025-04-28,https://www.youtube.com/watch?v=GcLYpZlAtWs,39,4020,Next Summer Holiday Haul / Midsize Tall try on #midsize fashion #nexthaul,6390,Claire Marie Howard,166,"""Seasonal Style"""
,,00:15:16,2025-04-12,https://www.youtube.com/watch?v=lJe40dfQers,0,2510,NEXT NEW ACCESSORIES| APRIL 2025| Gazingpearl Life #gazingpearllife #next #haul #shopping#fashion,4410,GazingPearl Life,25,"""Fashion Trends"""
